,name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter
45,Blanche,1975,7,27,6,35.9,-70,hurricane,1,65,987,NA,NA
46,Blanche,1975,7,27,12,36.9,-69,hurricane,1,70,984,NA,NA
47,Blanche,1975,7,27,18,37.9,-68,hurricane,1,75,981,NA,NA
48,Blanche,1975,7,28,0,39.3,-67.2,hurricane,1,75,980,NA,NA
49,Blanche,1975,7,28,6,41.2,-66.4,hurricane,1,70,980,NA,NA
74,Caroline,1975,8,30,0,23.3,-94.2,hurricane,1,65,990,NA,NA
75,Caroline,1975,8,30,6,23.5,-94.9,hurricane,1,65,990,NA,NA
76,Caroline,1975,8,30,12,23.7,-95.6,hurricane,1,65,989,NA,NA
77,Caroline,1975,8,30,18,23.8,-96.3,hurricane,1,70,987,NA,NA
78,Caroline,1975,8,31,0,24,-97,hurricane,3,100,973,NA,NA
79,Caroline,1975,8,31,6,24.1,-97.5,hurricane,3,100,963,NA,NA
80,Caroline,1975,8,31,12,24.3,-97.8,hurricane,2,90,963,NA,NA
95,Doris,1975,8,31,0,34.9,-46.3,hurricane,1,65,990,NA,NA
96,Doris,1975,8,31,6,34.8,-45.7,hurricane,1,65,990,NA,NA
97,Doris,1975,8,31,12,34.7,-45.2,hurricane,1,70,990,NA,NA
98,Doris,1975,8,31,18,34.6,-44.9,hurricane,1,70,990,NA,NA
99,Doris,1975,9,1,0,34.5,-44.6,hurricane,1,75,984,NA,NA
100,Doris,1975,9,1,6,34.6,-44.2,hurricane,1,75,984,NA,NA
101,Doris,1975,9,1,12,34.9,-44,hurricane,1,75,984,NA,NA
102,Doris,1975,9,1,18,35.4,-44,hurricane,1,75,984,NA,NA
103,Doris,1975,9,2,0,35.8,-44.4,hurricane,2,90,970,NA,NA
104,Doris,1975,9,2,6,36.4,-44.5,hurricane,2,95,965,NA,NA
105,Doris,1975,9,2,12,37,-44.3,hurricane,2,95,965,NA,NA
106,Doris,1975,9,2,18,37.7,-44.2,hurricane,2,95,965,NA,NA
107,Doris,1975,9,3,0,38.4,-43.8,hurricane,2,95,965,NA,NA
108,Doris,1975,9,3,6,39.7,-43.6,hurricane,2,95,965,NA,NA
109,Doris,1975,9,3,12,41.1,-43,hurricane,2,95,965,NA,NA
110,Doris,1975,9,3,18,42,-42.5,hurricane,2,90,970,NA,NA
127,Eloise,1975,9,16,18,19.5,-68.4,hurricane,1,65,1002,NA,NA
128,Eloise,1975,9,17,0,19.6,-69.2,hurricane,1,65,997,NA,NA
149,Eloise,1975,9,22,6,24.8,-89.4,hurricane,1,65,993,NA,NA
150,Eloise,1975,9,22,12,25.8,-89.5,hurricane,1,75,986,NA,NA
151,Eloise,1975,9,22,18,26.5,-89.4,hurricane,2,85,980,NA,NA
152,Eloise,1975,9,23,0,27.3,-88.5,hurricane,2,95,968,NA,NA
153,Eloise,1975,9,23,6,28.4,-87.3,hurricane,3,105,958,NA,NA
154,Eloise,1975,9,23,12,30.2,-86.3,hurricane,3,110,955,NA,NA
165,Faye,1975,9,26,0,26.5,-60,hurricane,1,65,990,NA,NA
166,Faye,1975,9,26,6,27.9,-60.9,hurricane,1,70,988,NA,NA
167,Faye,1975,9,26,12,29.6,-62,hurricane,1,75,985,NA,NA
168,Faye,1975,9,26,18,31,-63.1,hurricane,2,85,985,NA,NA
169,Faye,1975,9,27,0,32.7,-64.2,hurricane,2,90,985,NA,NA
170,Faye,1975,9,27,6,34.4,-65.2,hurricane,2,90,979,NA,NA
171,Faye,1975,9,27,12,36.1,-65.7,hurricane,2,90,982,NA,NA
172,Faye,1975,9,27,18,37.4,-65,hurricane,2,90,985,NA,NA
173,Faye,1975,9,28,0,38.4,-63.7,hurricane,2,85,985,NA,NA
174,Faye,1975,9,28,6,39.8,-60.5,hurricane,1,80,985,NA,NA
175,Faye,1975,9,28,12,41,-57.1,hurricane,1,75,979,NA,NA
176,Faye,1975,9,28,18,42.3,-52,hurricane,1,75,977,NA,NA
177,Faye,1975,9,29,0,42.8,-46,hurricane,1,70,977,NA,NA
178,Faye,1975,9,29,6,42.9,-40,hurricane,1,65,977,NA,NA
191,Gladys,1975,9,25,18,15.8,-44,hurricane,1,65,990,NA,NA
192,Gladys,1975,9,26,0,16.2,-45,hurricane,1,65,990,NA,NA
193,Gladys,1975,9,26,6,16.4,-46.1,hurricane,1,65,990,NA,NA
194,Gladys,1975,9,26,12,16.6,-47.7,hurricane,1,65,990,NA,NA
195,Gladys,1975,9,26,18,16.8,-49.3,hurricane,1,65,990,NA,NA
196,Gladys,1975,9,27,0,17.1,-50.7,hurricane,1,65,990,NA,NA
197,Gladys,1975,9,27,6,17.6,-52.2,hurricane,1,65,990,NA,NA
198,Gladys,1975,9,27,12,18.2,-53.7,hurricane,1,65,990,NA,NA
199,Gladys,1975,9,27,18,18.8,-55.1,hurricane,1,65,990,NA,NA
200,Gladys,1975,9,28,0,19.4,-56.4,hurricane,1,65,992,NA,NA
201,Gladys,1975,9,28,6,19.6,-57.4,hurricane,1,65,992,NA,NA
202,Gladys,1975,9,28,12,19.8,-58.2,hurricane,1,65,1000,NA,NA
203,Gladys,1975,9,28,18,20.3,-59.3,hurricane,1,65,998,NA,NA
204,Gladys,1975,9,29,0,21.2,-60.3,hurricane,1,65,995,NA,NA
205,Gladys,1975,9,29,6,22.1,-61.4,hurricane,1,70,990,NA,NA
206,Gladys,1975,9,29,12,23,-62.6,hurricane,1,70,990,NA,NA
207,Gladys,1975,9,29,18,23.6,-63.9,hurricane,1,75,985,NA,NA
208,Gladys,1975,9,30,0,24.1,-65.2,hurricane,1,80,975,NA,NA
209,Gladys,1975,9,30,6,24.6,-66.5,hurricane,1,80,975,NA,NA
210,Gladys,1975,9,30,12,25.1,-67.9,hurricane,1,80,975,NA,NA
211,Gladys,1975,9,30,18,25.6,-69.3,hurricane,1,80,975,NA,NA
212,Gladys,1975,10,1,0,26.1,-70.6,hurricane,1,80,975,NA,NA
213,Gladys,1975,10,1,6,26.8,-71.7,hurricane,1,80,975,NA,NA
214,Gladys,1975,10,1,12,27.9,-72.4,hurricane,1,80,975,NA,NA
215,Gladys,1975,10,1,18,29.4,-73,hurricane,2,90,969,NA,NA
216,Gladys,1975,10,2,0,31,-73,hurricane,3,100,954,NA,NA
217,Gladys,1975,10,2,6,32.9,-72.1,hurricane,3,110,942,NA,NA
218,Gladys,1975,10,2,12,35.3,-69.8,hurricane,4,120,939,NA,NA
219,Gladys,1975,10,2,18,37.8,-67,hurricane,4,120,939,NA,NA
220,Gladys,1975,10,3,0,40.8,-62.6,hurricane,3,110,950,NA,NA
221,Gladys,1975,10,3,6,43.7,-57,hurricane,2,85,960,NA,NA
222,Gladys,1975,10,3,12,46.6,-50.6,hurricane,2,85,960,NA,NA
245,Belle,1976,8,7,18,26.6,-74.2,hurricane,1,70,985,NA,NA
246,Belle,1976,8,8,0,26.9,-74.6,hurricane,1,80,972,NA,NA
247,Belle,1976,8,8,6,27.4,-75.1,hurricane,2,90,962,NA,NA
248,Belle,1976,8,8,12,28.1,-75.1,hurricane,2,95,959,NA,NA
249,Belle,1976,8,8,18,29.5,-75.3,hurricane,3,100,958,NA,NA
250,Belle,1976,8,9,0,30.9,-75.3,hurricane,3,105,957,NA,NA
251,Belle,1976,8,9,6,32.5,-75.2,hurricane,3,105,959,NA,NA
252,Belle,1976,8,9,12,34.4,-74.7,hurricane,2,95,963,NA,NA
253,Belle,1976,8,9,18,36.6,-74.2,hurricane,2,90,970,NA,NA
254,Belle,1976,8,10,0,38.8,-73.8,hurricane,1,80,977,NA,NA
274,Candice,1976,8,21,6,41.2,-59.3,hurricane,1,65,993,NA,NA
275,Candice,1976,8,21,12,41,-59,hurricane,1,65,989,NA,NA
276,Candice,1976,8,22,18,41.3,-56.4,hurricane,1,80,964,NA,NA
277,Candice,1976,8,23,18,44.4,-51.2,hurricane,1,80,971,NA,NA
291,Emmy,1976,8,25,12,26.5,-62.1,hurricane,1,65,990,NA,NA
292,Emmy,1976,8,25,18,26.6,-60.4,hurricane,1,65,991,NA,NA
293,Emmy,1976,8,26,0,26.8,-59,hurricane,1,70,988,NA,NA
294,Emmy,1976,8,26,6,27,-57.8,hurricane,1,75,984,NA,NA
295,Emmy,1976,8,26,12,27.2,-56.2,hurricane,1,80,980,NA,NA
296,Emmy,1976,8,26,18,27.7,-54.8,hurricane,2,85,976,NA,NA
297,Emmy,1976,8,27,12,30.9,-53.7,hurricane,2,85,975,NA,NA
298,Emmy,1976,8,28,12,33.5,-56.6,hurricane,2,85,975,NA,NA
299,Emmy,1976,8,29,12,35,-56.8,hurricane,2,90,974,NA,NA
300,Emmy,1976,8,30,12,34.9,-52,hurricane,2,90,975,NA,NA
301,Emmy,1976,8,31,12,35.1,-44.9,hurricane,2,85,977,NA,NA
302,Emmy,1976,9,1,12,35.1,-36.6,hurricane,1,80,975,NA,NA
303,Emmy,1976,9,3,0,35.2,-28.7,hurricane,1,75,980,NA,NA
304,Emmy,1976,9,3,18,38,-27.2,hurricane,1,70,984,NA,NA
305,Emmy,1976,9,4,0,38.8,-26.8,hurricane,1,65,988,NA,NA
306,Emmy,1976,9,4,6,39.6,-25.8,hurricane,1,65,994,NA,NA
313,Frances,1976,8,30,0,18.3,-51.6,hurricane,1,65,991,NA,NA
314,Frances,1976,8,30,18,20.2,-54.2,hurricane,1,65,987,NA,NA
315,Frances,1976,8,31,0,21,-54.9,hurricane,1,65,980,NA,NA
316,Frances,1976,8,31,12,23.1,-55.2,hurricane,1,75,975,NA,NA
317,Frances,1976,9,1,0,25.3,-54.9,hurricane,2,90,968,NA,NA
318,Frances,1976,9,1,6,26.3,-54.3,hurricane,3,100,963,NA,NA
319,Frances,1976,9,1,12,27.2,-53.7,hurricane,2,95,966,NA,NA
320,Frances,1976,9,4,0,32,-37.2,hurricane,1,65,992,NA,NA
334,Gloria,1976,9,29,6,29.1,-59.8,hurricane,1,65,984,NA,NA
335,Gloria,1976,9,29,12,29.7,-60.2,hurricane,1,65,979,NA,NA
336,Gloria,1976,9,29,18,30.2,-60.3,hurricane,1,70,973,NA,NA
337,Gloria,1976,9,30,0,31.1,-60.2,hurricane,1,80,970,NA,NA
338,Gloria,1976,9,30,6,32.2,-59.8,hurricane,2,85,971,NA,NA
339,Gloria,1976,9,30,12,33.1,-58.8,hurricane,2,90,977,NA,NA
340,Gloria,1976,9,30,18,34,-57.5,hurricane,2,90,981,NA,NA
341,Gloria,1976,10,1,0,34.7,-56.1,hurricane,2,90,985,NA,NA
342,Gloria,1976,10,1,6,35.3,-54.8,hurricane,2,85,988,NA,NA
343,Gloria,1976,10,1,12,35.7,-53.7,hurricane,1,80,990,NA,NA
344,Gloria,1976,10,1,18,36.1,-52.6,hurricane,1,75,992,NA,NA
345,Gloria,1976,10,2,0,36.4,-51.7,hurricane,1,70,993,NA,NA
361,Holly,1976,10,24,12,24.9,-58.1,hurricane,1,65,990,NA,NA
362,Holly,1976,10,25,0,27.2,-57.5,hurricane,1,65,995,NA,NA
370,Anita,1977,8,30,18,26.5,-90.6,hurricane,1,65,997,NA,NA
371,Anita,1977,8,31,0,26.4,-91,hurricane,1,70,991,NA,NA
372,Anita,1977,8,31,6,26.3,-91.4,hurricane,1,75,988,NA,NA
373,Anita,1977,8,31,12,26.2,-91.8,hurricane,1,75,986,NA,NA
374,Anita,1977,8,31,18,26.1,-92.3,hurricane,1,80,985,NA,NA
375,Anita,1977,9,1,0,25.9,-92.8,hurricane,1,80,979,NA,NA
376,Anita,1977,9,1,6,25.8,-93.7,hurricane,2,85,972,NA,NA
377,Anita,1977,9,1,12,25.5,-94.7,hurricane,2,90,963,NA,NA
378,Anita,1977,9,1,18,25.2,-95.5,hurricane,3,110,945,NA,NA
379,Anita,1977,9,2,0,24.6,-96.2,hurricane,5,140,931,NA,NA
380,Anita,1977,9,2,6,24.2,-97.1,hurricane,5,150,926,NA,NA
381,Anita,1977,9,2,12,23.7,-98,hurricane,4,120,940,NA,NA
382,Anita,1977,9,2,18,23.1,-99.2,hurricane,1,70,978,NA,NA
389,Babe,1977,9,5,6,28.7,-91.4,hurricane,1,65,995,NA,NA
407,Clara,1977,9,8,12,35.5,-67.7,hurricane,1,65,993,NA,NA
408,Clara,1977,9,8,18,35.6,-66.2,hurricane,1,65,994,NA,NA
409,Clara,1977,9,9,0,35.5,-64.6,hurricane,1,65,998,NA,NA
429,Dorothy,1977,9,28,12,35.5,-59.7,hurricane,1,65,988,NA,NA
430,Dorothy,1977,9,28,18,37,-58.8,hurricane,1,70,984,NA,NA
431,Dorothy,1977,9,29,0,38.3,-57,hurricane,1,75,980,NA,NA
432,Dorothy,1977,9,29,6,40,-55.5,hurricane,1,70,984,NA,NA
433,Dorothy,1977,9,29,12,42,-54,hurricane,1,65,988,NA,NA
442,Evelyn,1977,10,15,0,39.2,-63.3,hurricane,1,65,994,NA,NA
443,Evelyn,1977,10,15,6,42.4,-61.5,hurricane,1,70,996,NA,NA
444,Evelyn,1977,10,15,12,45.5,-60.1,hurricane,1,70,998,NA,NA
445,Evelyn,1977,10,15,18,47.4,-59.2,hurricane,1,70,999,NA,NA
